model,score,width_x,depth_x,dataset,params
resdepth,0.6503746448899661,0.25,0.0,chexpert,170405
resdepth,0.6587772647269704,0.25,0.0,chexpert,170405
resdepth,0.6564820284889563,0.25,0.0,chexpert,170405
resdepth,0.6506642454194254,0.25,0.0,chexpert,170405
resdepth,0.6494016226418576,0.25,0.0,chexpert,170405
resdepth,0.6493204813080953,0.25,0.0,chexpert,170405
resdepth,0.6555902980827442,0.25,0.0,chexpert,170405
resdepth,0.6695655486307068,0.75,5.0,chexpert,612053
resdepth,0.6755385549701323,0.75,5.0,chexpert,612053
resdepth,0.6744366064932105,0.75,5.0,chexpert,612053
resdepth,0.6674728868936566,0.75,5.0,chexpert,612053
resdepth,0.6694492501095478,0.75,5.0,chexpert,612053
resdepth,0.676052025061339,0.75,5.0,chexpert,612053
resdepth,0.6775594391452737,0.75,5.0,chexpert,612053
resdepth,0.6631923909331461,0.75,5.0,chexpert,612053
resdepth,0.6743525583524906,0.75,5.0,chexpert,612053
resdepth,0.6677497521984913,0.75,5.0,chexpert,612053
resdepth,0.6676234831671238,0.75,5.0,chexpert,612053
resdepth,0.6695777053768094,0.75,5.0,chexpert,612053
resdepth,0.6712029499055664,0.75,5.0,chexpert,612053
resdepth,0.6761707917846995,0.75,5.0,chexpert,612053
resdepth,0.6680320900317662,0.75,5.0,chexpert,612053
resdepth,0.826834690817239,1.0,2.0,mura,641281
resdepth,0.8308592564357764,1.0,2.0,mura,641281
resdepth,0.8277762468999724,1.0,2.0,mura,641281
resdepth,0.8344581377151801,1.0,2.0,mura,641281
resdepth,0.8377067177833928,1.0,2.0,mura,641281
resdepth,0.8353950920739815,1.0,2.0,mura,641281
resdepth,0.8244302302628161,1.0,2.0,mura,641281
resdepth,0.8238231456388638,1.0,2.0,mura,641281
resdepth,0.8247161663300133,1.0,2.0,mura,641281
resdepth,0.8244139245869228,1.0,2.0,mura,641281
resdepth,0.8291804997378998,1.0,2.0,mura,641281
resdepth,0.8432690871059314,1.0,2.0,mura,641281
resdepth,0.8299565746048289,1.0,2.0,mura,641281
resdepth,0.8255602496566351,1.0,2.0,mura,641281
resdepth,0.8273523922006981,1.0,2.0,mura,641281
resdepth,0.8019821704268142,1.0,4.0,mura,705217
resdepth,0.8047420967949319,1.0,4.0,mura,705217
resdepth,0.8130906768837803,1.0,4.0,mura,705217
resdepth,0.8177673874926945,1.0,4.0,mura,705217
resdepth,0.8060593160210019,1.0,4.0,mura,705217
resdepth,0.8102973624015708,1.0,4.0,mura,705217
resdepth,0.8137811514332258,1.0,4.0,mura,705217
resdepth,0.8155878926963265,1.0,4.0,mura,705217
resdepth,0.8093803786574871,1.0,4.0,mura,705217
resdepth,0.8053044317401923,1.0,4.0,mura,705217
resdepth,0.8205538457238875,1.0,4.0,mura,705217
resdepth,0.8233031487394032,1.0,4.0,mura,705217
resdepth,0.8049409952025774,1.0,4.0,mura,705217
resdepth,0.8083180341759639,1.0,4.0,mura,705217
resdepth,0.7996729184780358,1.0,4.0,mura,705217
resdepth,0.8051027142395777,0.75,4.0,mura,649361
resdepth,0.8201673896118341,0.75,4.0,mura,649361
resdepth,0.8126730533952449,0.75,4.0,mura,649361
resdepth,0.8067119616821049,0.75,4.0,mura,649361
resdepth,0.8102340870330639,0.75,4.0,mura,649361
resdepth,0.8104666685015964,0.75,4.0,mura,649361
resdepth,0.8099875104651322,0.75,4.0,mura,649361
resdepth,0.8170967885678637,0.75,4.0,mura,649361
resdepth,0.8198637208341937,0.75,4.0,mura,649361
resdepth,0.8051282051282052,0.75,4.0,mura,649361
resdepth,0.8190318451627423,0.75,4.0,mura,649361
resdepth,0.8175570834394363,0.75,4.0,mura,649361
resdepth,0.8141655668192412,0.75,4.0,mura,649361
resdepth,0.8113485886458445,0.75,4.0,mura,649361
resdepth,0.8115588510446623,0.75,4.0,mura,649361
resdepth,0.7780637898429107,0.25,2.0,mura,161985
resdepth,0.7890948292037239,0.25,2.0,mura,161985
resdepth,0.789985165763963,0.25,2.0,mura,161985
resdepth,0.8007159863299135,0.25,2.0,mura,161985
resdepth,0.7872888454558146,0.25,2.0,mura,161985
resdepth,0.7967823026646556,0.25,2.0,mura,161985
resdepth,0.7858707802369774,0.25,2.0,mura,161985
resdepth,0.798896293211162,0.25,2.0,mura,161985
resdepth,0.7822994479853722,0.25,2.0,mura,161985
resdepth,0.7893063052343505,0.25,2.0,mura,161985
resdepth,0.7980450907262289,0.25,2.0,mura,161985
resdepth,0.7833711023276241,0.25,2.0,mura,161985
resdepth,0.7833353968057447,0.25,2.0,mura,161985
resdepth,0.7928906675606588,0.25,2.0,mura,161985
resdepth,0.7876235156639342,0.25,2.0,mura,161985
resdepth,0.8115014832552986,0.5,5.0,mura,364001
resdepth,0.8050376869114141,0.5,5.0,mura,364001
resdepth,0.8126562164936495,0.5,5.0,mura,364001
resdepth,0.8067860710717853,0.5,5.0,mura,364001
resdepth,0.8148159503977379,0.5,5.0,mura,364001
resdepth,0.8091172680412372,0.5,5.0,mura,364001
resdepth,0.8031165930663418,0.5,5.0,mura,364001
resdepth,0.8017845309097794,0.5,5.0,mura,364001
resdepth,0.8059705134864716,0.5,5.0,mura,364001
resdepth,0.7842410417260717,0.5,5.0,mura,364001
resdepth,0.8065912468079175,0.5,5.0,mura,364001
resdepth,0.8141611650087732,0.5,5.0,mura,364001
resdepth,0.8103900774207381,0.5,5.0,mura,364001
resdepth,0.7973227517624409,0.5,5.0,mura,364001
resdepth,0.807457396046353,0.5,5.0,mura,364001
resdepth,0.8209265827335642,0.5,1.0,mura,370369
resdepth,0.8297036897300998,0.5,1.0,mura,370369
resdepth,0.8158058979559992,0.5,1.0,mura,370369
resdepth,0.8072675790467201,0.5,1.0,mura,370369
resdepth,0.8129939281692957,0.5,1.0,mura,370369
resdepth,0.8145661745661745,0.5,1.0,mura,370369
resdepth,0.8262549191455721,0.5,1.0,mura,370369
